"Program","Workout","Weeks","Exercise","Sets","Reps","Notes"
"Booty-ful Beginnings","A","1-4","Bodyweight glute bridge","3","10-20 reps","Paired with A2"
"Booty-ful Beginnings","A","1-4","One arm dumbbell row","3","8-12 reps (each)","Paired with A1"
"Booty-ful Beginnings","A","1-4","Bodyweight box squat","3","10-20 reps","Paired with B2"
"Booty-ful Beginnings","A","1-4","Barbell bench press","3","8-12 reps","Paired with B1"
"Booty-ful Beginnings","A","1-4","Dumbbell Romanian deadlift","3","10-20 reps",""
"Booty-ful Beginnings","A","1-4","Side lying abduction","1","15-30 reps (each)",""
"Booty-ful Beginnings","A","1-4","Front plank","1","20-120 seconds",""
"Booty-ful Beginnings","A","1-4","Side plank from knees","1","20-60 seconds (each)",""
"Booty-ful Beginnings","B","1-4","Bodyweight foot elevated single-leg glute bridge","3","10-20 reps","Paired with A2"
"Booty-ful Beginnings","B","1-4","Front lat pulldown","3","8-12 reps (each)","Paired with A1"
"Booty-ful Beginnings","B","1-4","Bodyweight step up","3","10-20 reps (each)","Paired with B2"
"Booty-ful Beginnings","B","1-4","Dumbbell military press","3","8-12 reps","Paired with B1"
"Booty-ful Beginnings","B","1-4","Bodyweight 45-degree back ext.","3","10-20 reps",""
"Booty-ful Beginnings","B","1-4","Side lying clam","1","15-30 reps (each)",""
"Booty-ful Beginnings","B","1-4","Crunch","1","15-30 reps",""
"Booty-ful Beginnings","B","1-4","Side crunch","1","15-30 reps (each)",""
"Booty-ful Beginnings","C","1-4","Glute march","3","60 sec","Paired with A2"
"Booty-ful Beginnings","C","1-4","Seated row","3","8-12 reps","Paired with A1"
"Booty-ful Beginnings","C","1-4","Bodyweight parallel squat","3","10-20 reps","Paired with B2"
"Booty-ful Beginnings","C","1-4","Dumbbell incline press","3","8-12 reps","Paired with B1"
"Booty-ful Beginnings","C","1-4","Bodyweight single-leg RDL","3","10-20 reps (each side)",""
"Booty-ful Beginnings","C","1-4","X-band walk (light tension)","1","10-20 steps (each side)",""
"Booty-ful Beginnings","C","1-4","RKC plank","1","10-30 sec",""
"Booty-ful Beginnings","C","1-4","Rope horizontal chop","1","10 reps (each side)",""
"Booty-ful Beginnings","A","5-8","Bodyweight hip thrust","3","10-20 reps","Paired with A2"
"Booty-ful Beginnings","A","5-8","Standing single-arm cable row","3","8-12 reps","Paired with A1"
"Booty-ful Beginnings","A","5-8","Goblet squat","3","10-20 reps","Paired with B2"
"Booty-ful Beginnings","A","5-8","Barbell bench press","3","8-12 reps","Paired with B1"
"Booty-ful Beginnings","A","5-8","Barbell Romanian deadlift","3","10-20 reps",""
"Booty-ful Beginnings","A","5-8","Side lying abduction","1","15-30 reps (each)",""
"Booty-ful Beginnings","A","5-8","Feet elevated plank","1","20-60 seconds",""
"Booty-ful Beginnings","A","5-8","Side plank","1","20-60 seconds (each)",""
"Booty-ful Beginnings","B","5-8","Bodyweight single-leg glute bridge","3","10-20 reps (each)","Paired with A2"
"Booty-ful Beginnings","B","5-8","Negative chin-up","3","3 reps","Paired with A1"
"Booty-ful Beginnings","B","5-8","Bodyweight walking lunge","3","20-40 total steps","Paired with B2"
"Booty-ful Beginnings","B","5-8","Dumbbell military press","3","8-12 reps","Paired with B1"
"Booty-ful Beginnings","B","5-8","Bodyweight reverse hyperextension","3","10-20 reps",""
"Booty-ful Beginnings","B","5-8","Side lying clam","1","15-30 reps (each)",""
"Booty-ful Beginnings","B","5-8","Swiss ball crunch","1","15-30 reps",""
"Booty-ful Beginnings","B","5-8","Swiss ball side crunch","1","15-30 reps (each)",""
"Booty-ful Beginnings","C","5-8","Bodyweight hip thrust (pause rep method)","3","10-20 reps","3 sec pause at top, paired with A2"
"Booty-ful Beginnings","C","5-8","Modified inverted row","3","8-12 reps","Paired with A1"
"Booty-ful Beginnings","C","5-8","Goblet squat","3","10-20 reps","Paired with B2"
"Booty-ful Beginnings","C","5-8","Close grip barbell bench press","3","8-12 reps","Paired with B1"
"Booty-ful Beginnings","C","5-8","Russian kettlebell swing","3","10-20 reps",""
"Booty-ful Beginnings","C","5-8","X-band walk (moderate tension)","1","15-30 reps (each)",""
"Booty-ful Beginnings","C","5-8","Straight-leg sit-up","1","15-30 reps",""
"Booty-ful Beginnings","C","5-8","Band rotary hold","1","10-20 seconds (each)",""
"Booty-ful Beginnings","A","9-12","Barbell hip thrust","3","10-20 reps","Paired with A2"
"Booty-ful Beginnings","A","9-12","Dumbbell bent over row","3","8-12 reps","Paired with A1"
"Booty-ful Beginnings","A","9-12","Barbell box squat","3","10-20 reps","Paired with B2"
"Booty-ful Beginnings","A","9-12","Push-up","3","3-10 reps","Paired with B1"
"Booty-ful Beginnings","A","9-12","Barbell American deadlift","3","10-20 reps",""
"Booty-ful Beginnings","A","9-12","Side lying abduction","1","15-30 reps (each)",""
"Booty-ful Beginnings","A","9-12","Dumbbell Swiss ball crunch","1","15-30 reps",""
"Booty-ful Beginnings","A","9-12","Half-kneeling cable anti-rotation press","1","10-15 reps (each)",""
"Booty-ful Beginnings","B","9-12","Bodyweight single-leg hip thrust","3","10-20 reps (each)","Paired with A2"
"Booty-ful Beginnings","B","9-12","Chin-up (band assisted)","3","1-5 reps","Paired with A1"
"Booty-ful Beginnings","B","9-12","Bodyweight Bulgarian split squat","3","10-20 reps (each)","Paired with B2"
"Booty-ful Beginnings","B","9-12","Barbell military press","3","8-12 reps","Paired with B1"
"Booty-ful Beginnings","B","9-12","Good morning","3","10-20 reps",""
"Booty-ful Beginnings","B","9-12","X-band walk","1","15-30 reps (each)",""
"Booty-ful Beginnings","B","9-12","Feet elevated plank","1","60-120 sec",""
"Booty-ful Beginnings","B","9-12","Dumbbell side bend","1","15-30 reps (each)",""
"Booty-ful Beginnings","C","9-12","Barbell hip thrust (pause rep method)","3","8-15 reps","3 sec pause at top, paired with A2"
"Booty-ful Beginnings","C","9-12","Dumbbell chest supported row","3","8-12 reps","Paired with A1"
"Booty-ful Beginnings","C","9-12","Barbell parallel squat","3","10-20 reps","Paired with B2"
"Booty-ful Beginnings","C","9-12","Barbell incline press","3","8-12 reps","Paired with B1"
"Booty-ful Beginnings","C","9-12","Bodyweight back extension","3","10-30 reps",""
"Booty-ful Beginnings","C","9-12","Side lying clam","1","15-30 reps (each)",""
"Booty-ful Beginnings","C","9-12","Hanging leg raise","1","10-20 reps",""
"Booty-ful Beginnings","C","9-12","Rope horizontal chop","1","10-15 reps (each)",""
"Gluteal Goddess Advanced","A","1-4","Barbell glute bridge","3","20 reps","Paired with A2"
"Gluteal Goddess Advanced","A","1-4","One-arm dumbbell row","3","8 reps (each)","Paired with A1"
"Gluteal Goddess Advanced","A","1-4","Barbell box squat","3","5 reps","Paired with B2"
"Gluteal Goddess Advanced","A","1-4","Dumbbell incline bench press","3","8 reps","Paired with B1"
"Gluteal Goddess Advanced","A","1-4","Barbell American deadlift","3","5 reps",""
"Gluteal Goddess Advanced","A","1-4","Cable standing abduction","1","20 reps (each)",""
"Gluteal Goddess Advanced","A","1-4","RKC plank","1","60 seconds",""
"Gluteal Goddess Advanced","A","1-4","Side plank","1","60 seconds",""
"Gluteal Goddess Advanced","B","1-4","Bodyweight shoulder elevated single-leg hip thrust","3","8-20 reps (each)","Paired with A2"
"Gluteal Goddess Advanced","B","1-4","Chin-up","3","5 reps","Paired with A1"
"Gluteal Goddess Advanced","B","1-4","Dumbbell high step up","3","10 reps (each)","Paired with B2"
"Gluteal Goddess Advanced","B","1-4","Barbell military press","3","8 reps","Paired with B1"
"Gluteal Goddess Advanced","B","1-4","Prisoner single-leg 45 back extension","2","12 reps (each)",""
"Gluteal Goddess Advanced","B","1-4","Banded seat abduction","1","20 reps",""
"Gluteal Goddess Advanced","B","1-4","Straight-leg sit-up","1","20 reps",""
"Gluteal Goddess Advanced","B","1-4","45-degree side bend","1","20 reps (each)",""
"Gluteal Goddess Advanced","C","1-4","Barbell American hip thrust","3","20 reps","Paired with A2"
"Gluteal Goddess Advanced","C","1-4","Standing single-arm cable row","3","8 reps each side","Paired with A1"
"Gluteal Goddess Advanced","C","1-4","Goblet full squat","3","5 reps","Paired with B2"
