Program Name,Program Arthur,Program Description,Program Length,Program Level,Program Equipment,Days Per Week,Mesocycle Name,Mesocycle Description,Mesocycle Order,Microcycle Name,Microcycle Description,Microcycle Order,Workout Name,Workout Day,Workout Notes,Exercise Name,Exercise Description,Sets,Set Type,Target Repetitions,Target Min Repetitions,Target Max Repetitions,Target Weight (lbs),Target Weight (kg),Weight Increment (lbs),Weight Increment (kg),Target RPE,Target RIR,Percentage of 1RM,Progression Scheme ID,Advanced Exercise Sets
Intermediate Program,Bret Contreras,A program for intermediate lifters focused on greater loading and barbell movements.,12 weeks,Intermediate,"Barbell, plates, Glute Loop, adjustable bench, squat rack, chin-up bar, rings, dumbbells, 45-degree hyper, cable column",4,Weeks 1-4,Focuses on the hip thrust and military press.,1,Week 1-4,First 4 weeks of the intermediate program.,1,Workout Day 1,Day 1,,Barbell Hip Thrust,"Warm up then do a set of 10 reps. Add weight, rest 2 minutes, then do a set of 8. Add weight, rest 2 minutes, then do a set of 6. Reduce the weight off, rest 1 minute, and do a set of 15.",4,Normal,"10, 8, 6, 15",,,,,,,,,,,
Intermediate Program,Bret Contreras,A program for intermediate lifters focused on greater loading and barbell movements.,12 weeks,Intermediate,"Barbell, plates, Glute Loop, adjustable bench, squat rack, chin-up bar, rings, dumbbells, 45-degree hyper, cable column",4,Weeks 1-4,Focuses on the hip thrust and military press.,1,Week 1-4,First 4 weeks of the intermediate program.,1,Workout Day 1,Day 1,,Military Press,"Warm up then do a set of 10 reps. Add weight, rest 2 minutes, then do a set of 8. Add weight, rest 2 minutes, then do a set of 6. Reduce the weight, rest 1 minute, and do a set of 15.",4,Normal,"10, 8, 6, 15",,,,,,,,,,,
Intermediate Program,Bret Contreras,A program for intermediate lifters focused on greater loading and barbell movements.,12 weeks,Intermediate,"Barbell, plates, Glute Loop, adjustable bench, squat rack, chin-up bar, rings, dumbbells, 45-degree hyper, cable column",4,Weeks 1-4,Focuses on the hip thrust and military press.,1,Week 1-4,First 4 weeks of the intermediate program.,1,Workout Day 1,Day 1,,Back Squat,,3,Normal,6,,,,,,,,,,,
Intermediate Program,Bret Contreras,A program for intermediate lifters focused on greater loading and barbell movements.,12 weeks,Intermediate,"Barbell, plates, Glute Loop, adjustable bench, squat rack, chin-up bar, rings, dumbbells, 45-degree hyper, cable column",4,Weeks 1-4,Focuses on the hip thrust and military press.,1,Week 1-4,First 4 weeks of the intermediate program.,1,Workout Day 1,Day 1,,Chin-up,,3,AMRAP,,,,,,,,,,,,
Intermediate Program,Bret Contreras,A program for intermediate lifters focused on greater loading and barbell movements.,12 weeks,Intermediate,"Barbell, plates, Glute Loop, adjustable bench, squat rack, chin-up bar, rings, dumbbells, 45-degree hyper, cable column",4,Weeks 1-4,Focuses on the hip thrust and military press.,1,Week 1-4,First 4 weeks of the intermediate program.,1,Workout Day 1,Day 1,,Gliding Leg Curl,,3,Normal,10,,,,,,,,,,,
Intermediate Program,Bret Contreras,A program for intermediate lifters focused on greater loading and barbell movements.,12 weeks,Intermediate,"Barbell, plates, Glute Loop, adjustable bench, squat rack, chin-up bar, rings, dumbbells, 45-degree hyper, cable column",4,Weeks 1-4,Focuses on the hip thrust and military press.,1,Week 1-4,First 4 weeks of the intermediate program.,1,Workout Day 1,Day 1,,Lateral Band Walk,,2,Normal,20,,,,,,,,,,,
Intermediate Program,Bret Contreras,A program for intermediate lifters focused on greater loading and barbell movements.,12 weeks,Intermediate,"Barbell, plates, Glute Loop, adjustable bench, squat rack, chin-up bar, rings, dumbbells, 45-degree hyper, cable column",4,Weeks 1-4,Focuses on the hip thrust and military press.,1,Week 1-4,First 4 weeks of the intermediate program.,1,Workout Day 2,Day 2,,Knee-Banded Bodyweight Glute Bridge,,3,Normal,30,,,,,,,,,,,
Intermediate Program,Bret Contreras,A program for intermediate lifters focused on greater loading and barbell movements.,12 weeks,Intermediate,"Barbell, plates, Glute Loop, adjustable bench, squat rack, chin-up bar, rings, dumbbells, 45-degree hyper, cable column",4,Weeks 1-4,Focuses on the hip thrust and military press.,1,Week 1-4,First 4 weeks of the intermediate program.,1,Workout Day 2,Day 2,,Push-up,,3,AMRAP,,,,,,,,,,,,
Intermediate Program,Bret Contreras,A program for intermediate lifters focused on greater loading and barbell movements.,12 weeks,Intermediate,"Barbell, plates, Glute Loop, adjustable bench, squat rack, chin-up bar, rings, dumbbells, 45-degree hyper, cable column",4,Weeks 1-4,Focuses on the hip thrust and military press.,1,Week 1-4,First 4 weeks of the intermediate program.,1,Workout Day 2,Day 2,,Dumbbell Stiff-Leg Deadlift,,3,Normal,10,,,,,,,,,,,
Intermediate Program,Bret Contreras,A program for intermediate lifters focused on greater loading and barbell movements.,12 weeks,Intermediate,"Barbell, plates, Glute Loop, adjustable bench, squat rack, chin-up bar, rings, dumbbells, 45-degree hyper, cable column",4,Weeks 1-4,Focuses on the hip thrust and military press.,1,Week 1-4,First 4 weeks of the intermediate program.,1,Workout Day 2,Day 2,,Seated Row,,3,Normal,12,,,,,,,,,,,
