Program Name,Program Arthur,Program Description,Program Length,Program Level,Program Equipment,Days Per Week,Mesocycle Name,Mesocycle Description,Mesocycle Order,Microcycle Name,Microcycle Description,Microcycle Order,Workout Name,Workout Day,Workout Notes,Exercise Name,Exercise Description,Sets,Set Type,Target Repetitions,Target Min Repetitions,Target Max Repetitions,Target Weight (lbs),Target Weight (kg),Weight Increment (lbs),Weight Increment (kg),Target RPE,Target RIR,Percentage of 1RM,Progression Scheme ID,Advanced Exercise Sets
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 1,,1,Workout A,1,,Bodyweight hip thrust,,3,Normal,20,20,20,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 1,,1,Workout A,1,,Bodyweight full squat,,3,Normal,20,20,20,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 1,,1,Workout A,1,,Bodyweight back extension,,3,Normal,20,20,20,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 1,,1,Workout A,1,,Side lying clam,,1,Normal,30,30,30,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 1,,1,Workout B,2,,Bodyweight single-leg glute bridge,,3,Normal,20,20,20,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 1,,1,Workout B,2,,Bodyweight walking lunge,,3,Normal,10,10,20,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 1,,1,Workout B,2,,Bodyweight reverse hyper extension,,3,Normal,20,20,20,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 1,,1,Workout B,2,,Side lying abduction,,1,Normal,30,30,30,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 1,,1,Workout C,3,,Barbell glute bridge,,3,Normal,10,10,10,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 1,,1,Workout C,3,,Goblet full squat,,3,Normal,10,10,10,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 1,,1,Workout C,3,,Dumbbell Romanian deadlift,,3,Normal,10,10,10,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 1,,1,Workout C,3,,Cable hip rotation,,1,Normal,10,10,10,,,,,,,,,
Gorgeous Glutes (only),,12-week program focused on glute development.,12 weeks,Lower Body Only,"Barbell, Dumbbell, Bodyweight, Cable, Bands, Kettlebell",3,Weeks 1-4,,1,Week 2,,2,Workout A,1,,Bodyweight hip thrust,,3,Normal,20,20,20,,,,,,,,,
