Program Name,Program Arthur,Program Description,Program Length,Program Level,Program Equipment,Days Per Week,Mesocycle Name,Mesocycle Description,Mesocycle Order,Microcycle Name,Microcycle Description,Microcycle Order,Workout Name,Workout Day,Workout Notes,Superset,Exercise Name,Exercise Notes,Sets,Set Type,Target Repetitions,Target Min Repetitions,Target Max Repetitions,Target Weight (lbs),Target Weight (kg),Weight Increment (lbs),Weight Increment (kg),Target RPE,Target RIR,Percentage of 1RM,Progression Scheme ID
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Monday - Legs/Glutes,Monday,,,Hip Thrust,Work up to an 8-rep weight. 15-second rest between clusters.,3,,6 reps per cluster,,,,,,,9-10,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Monday - Legs/Glutes,Monday,,,Wide Stance Squats,"Supramax pump, Keep low back arched, push hips back, glute contraction.",4,,10,,,,,,,9,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Monday - Legs/Glutes,Monday,,,Barbell Romanian Deadlifts,"Train muscle with stretch emphasis, 2-second hold in the stretch position.",4,,10,,,,,,,9-10,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Monday - Shoulders,Monday,,,Dumbbell bent over rear laterals/swings,"Activation and pump, Use the swing technique for half reps.",3,,30,,,,,,,9,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Monday - Shoulders,Monday,,,Dumbbell side lateral partials,"Activation and pump, Sit down, grab heavy dumbbells, do little swings.",3,,15,,,,,,,9,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Monday - Shoulders,Monday,,,Spidercrawls,"Activation and pump, Up above head, down to waistline, 3 times for 1 set.",3,,3 times up/down,,,,,,,9,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Monday - Abs,Monday,,Superset,Ab combination #2,A hanging leg raise and a rope crunch combo. 4 rounds.,8,,N/A,,,,,,,9-10,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Monday - Calves,Monday,,,Calf program #4,"Supramax pump, 10 reps, 10s bottom hold",4,,10,,,,,,,10,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Tuesday - Back,Tuesday,,,Dumbbell rows,"Activation and start pump, Work up to a hard 10, then do a drop set (10, 10, 10).",3,,10,,,,,,,9,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Tuesday - Back,Tuesday,,,Neutral grip pulldowns,"Supramax pump, Palms facing each other grip.",4,,10,,,,,,,9,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Tuesday - Back,Tuesday,,,Supinated cable low rows,"Supramax pump, Elevate yourself if possible.",4,,10,,,,,,,9-10,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Tuesday - Back,Tuesday,,,Hyperextensions,"Supramax pump, Use a band with very hard tension.",4,,8,,,,,,,10,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Tuesday - Abs,Tuesday,,Superset,Ab combination #1,A hanging leg raise and incline sit up combo. 4 rounds.,8,,N/A,,,,,,,8-9,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Tuesday - Calves,Tuesday,,,Calf program #1,"Supramax pump, https://www.youtube.com/watch?v=Qhdlw51Xjsc&index=68&list=PLD5A37C01FC6D4C0D",4,,"10 full, 10 lengthened partials, 10 sec stretch",,,,,,,10,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Wednesday - Triceps,Wednesday,,,Single arm triceps pushdowns,"Supramax pump, Do these as seen in the video.",4,,10,,,,,,,9,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Wednesday - Triceps,Wednesday,,,Incline lying extensions,"Supramax pump, Rep hard on these.",4,,20,,,,,,,9,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Wednesday - Triceps,Wednesday,,,Pushdowns on dip/chin machine,"Supramax pump, Use elbows to ride up high for a massive stretch, not a contraction.",4,,10,,,,,,,9-10,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Wednesday - Biceps,Wednesday,,,Hammer curl variation,"Supramax pump, Simple sets.",3,,12,,,,,,,9,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Wednesday - Biceps,Wednesday,,,Incline concentration curl,"Supramax pump, Use an EZ curl bar or dumbbells.",3,,10,,,,,,,9,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 13,Microcycle for Week 13,13,Wednesday - Biceps,Wednesday,,,EZ bar preacher curls,"Supramax pump, Simple sets.",3,,8,,,,,,,9,,,
