Week,Day,Body Part,Exercise,Sets,Reps,RPE,Goal,Notes/Video Link
13,Monday,Legs/Glutes,Hip Thrust,3,6 reps per cluster,9-10,Activation and start pump,Work up to an 8-rep weight. 15-second rest between clusters.
13,Monday,Legs/Glutes,Wide Stance Squats,4,10,9,Supramax pump,"Keep low back arched, push hips back, glute contraction."
13,Monday,Legs/Glutes,Barbell Romanian Deadlifts,4,10,9-10,Train muscle with stretch emphasis,2-second hold in the stretch position.
13,Monday,Shoulders,Dumbbell bent over rear laterals/swings,3,30,9,Activation and pump,Use the swing technique for half reps.
13,Monday,Shoulders,Dumbbell side lateral partials,3,15,9,Activation and pump,"Sit down, grab heavy dumbbells, do little swings."
13,Monday,Shoulders,Spidercrawls,3,3 times up/down,9,Activation and pump,Up above head, down to waistline, 3 times for 1 set.
13,Monday,Abs,Ab combination #2,8,N/A,9-10,A hanging leg raise and a rope crunch combo. 4 rounds.
13,Monday,Calves,Calf program #4,4,10 reps, 10s top hold, repeat 2x,10,Supramax pump,"10 reps, 10s top hold, repeat 2 more times."
13,Tuesday,Back,Dumbbell rows,3,10,9,Activation and start pump,"Work up to a hard 10, then do a drop set (10, 10, 10)."
13,Tuesday,Back,Neutral grip pulldowns,4,10,9,Supramax pump,Palms facing each other grip.
13,Tuesday,Back,Supinated cable low rows,4,10,9-10,Supramax pump,Elevate yourself if possible.
13,Tuesday,Back,Hyperextensions,4,8,10,Supramax pump,Use a band with very hard tension.
13,Tuesday,Abs,Ab combination #1,8,N/A,8-9,A hanging leg raise and incline sit up combo. 4 rounds.
13,Tuesday,Calves,Calf program #1,4,10 full, 10 half, 10 sec stretch,10,Supramax pump,https://www.youtube.com/watch?v=Qhdlw51Xjsc&index=68&list=PLD5A37C01FC6D4C0D
13,Wednesday,Triceps,Single arm triceps pushdowns,4,10,9,Supramax pump,Do these as seen in the video.
13,Wednesday,Triceps,Incline lying extensions,4,20,9,Supramax pump,Rep hard on these.
13,Wednesday,Triceps,Pushdowns on dip/chin machine,4,10,9-10,Supramax pump,"Use elbows to ride up high for a massive stretch, not a contraction."
13,Wednesday,Biceps,Hammer curl variation,3,12,9,Supramax pump,Simple sets.
13,Wednesday,Biceps,Incline concentration curl,3,10,9,Supramax pump,Use an EZ curl bar or dumbbells.
13,Wednesday,Biceps,EZ bar preacher curls,3,8,9,Supramax pump,Simple sets.
13,Wednesday,Abs,Ab combination #3,8,N/A,9-10,A rope crunch and a pulldown crunch combo. 4 rounds.
13,Wednesday,Calves,Seated raises,4,15,10,Supramax pump,"Pause and squeeze at the top for 8 seconds, long painful sets."
13,Thursday,Legs,Single Leg Hip Thrust,3,12,8,Activation and start pump,Work up to a tough 12 reps.
13,Thursday,Legs,Hack Squat,3,15,8,Supramax pump,Come down as low as you can while maintaining a low back arch.
13,Thursday,Legs,Goblet Squats,3,15,8,Train the pumped muscle through a full range of motion,Come down until just before you lose that low back arch.
13,Thursday,Shoulders,Banded face pulls,3,30,8,Supramax pump,Use the long orange micro mini band.
13,Thursday,Shoulders,Dumbbell side laterals,3,8,8,Supramax pump,Leave reps in the tank.
13,Thursday,Shoulders,Barbell front raises,4,8,8,Supramax pump,Nothing to failure.
13,Thursday,Calves,Seated calf raises,1,100,12,Stretch and pump,"1 set of 100 reps, stop as needed, but no more than 10s rest."
13,Thursday,Abs,Hanging leg leg raise,3,to failure,9,Activation and pump.
13,Friday,Chest,Incline dumbbell press,4,8 reps, then drop set,8-11,Activation and start pump,Do sets of 8, then a drop set with 2 drops.
13,Friday,Chest,Incline bench press,5,4,9,Train explosively,5 sets of 4 reps. Last rep should be hard but doable.
13,Friday,Chest,Flat dumbbell press,4,10,8,Supramax pump,Take to 3/4 lockout. Leave a few reps in the tank.
13,Friday,Chest,Incline pronated flyes,3,15,9-10,Train muscle with stretch emphasis,Stretch everything good and flush muscle with blood.
13,Friday,Chest,Stretch push ups,3,to failure,9,Supramax pump,"Add a chain or some extra weight, 8 reps."
13,Friday,Abs,Ab combination #4,9,N/A,10,A leg raise, rope crunch, and incline sit-up combo. 3 rounds.
13,Saturday,Legs,Cable Belt Squat March,3,2 minutes,8,Activation and start pump,Increase the weight this week.
13,Saturday,Legs,Hip Thrust,3,10 reps, then 10 partials,8,Supramax pump,"10 reps, then 10 partials from the top."
13,Saturday,Legs,Band Good Mornings,3,to failure,9,Supramax pump,"Use a band, or light barbell. Do 3 sets to failure.",https://www.youtube.com/watch?v=5eh9EAfLPPI
13,Saturday,Shoulders,Machine rear laterals,3,15,8,Supramax pump,Hold the contracted position for 1 second.
13,Saturday,Shoulders,Dumbbell side laterals,3,12,8,Supramax pump,"Do 10 over and backs with a rope/band between sets here!"
13,Saturday,Shoulders,Dumbbell press,3,15,8,Supramax pump,Nice and slow, full lockout and flexing.
13,Saturday,Calves,Calf program #1,4,10 full, 10 half, 10 sec stretch,10,Supramax pump,https://www.youtube.com/watch?v=Qhdlw51Xjsc&index=68&list=PLD5A37C01FC6D4C0D
14,Monday,Legs/Glutes,Hip Thrust,3,50 total reps,9-10,Activation and start pump,Work up to your 8-rep weight. Get 50 total reps.
14,Monday,Legs/Glutes,Squats,4,10,9,Supramax pump,Work up to a weight where you cannot get 10 reps with good form.
14,Monday,Legs/Glutes,Smith Machine Seated Deadlifts,4,12,8-9,Supramax pump,"Pull to knees, pause, then drive with glutes. Keep knees wide.",https://www.youtube.com/watch?v=DnEsI7uf4f0
14,Monday,Shoulders,Dumbbell side laterals,4,10,9,Activation and pump,Simple sets.
14,Monday,Shoulders,Spidercrawls,3,3 times up/down,9,Activation and pump,Up above head, down to waistline, 3 times for 1 set.
14,Monday,Shoulders,Hang and swing destroyer set,2,60 reps, then drop set,9-12,Supramax pump,"Heavy swings (60 reps), drop weight (30 reps), drop again (10 full reps)."
14,Monday,Abs,Ab combination #2,8,N/A,9-10,A hanging leg raise and a rope crunch combo. 4 rounds.
14,Monday,Calves,Calve program #4,4,10 reps, 10s top hold, repeat 2x,10,Supramax pump,"10 reps, 10s top hold, repeat 2 more times."
14,Tuesday,Back,Dumbbell rows,3,10,9,Activation and start pump,"Work up to a hard 10, then do a drop set (10, 10, 10)."
14,Tuesday,Back,Front pulldowns,3,10,9,Supramax pump,Basic pulldowns with pronated grip.
14,Tuesday,Back,Dumbbell pullovers,3,10,9,Train muscle with a stretch emphasis,Stretch lats.
14,Tuesday,Back,Supinated cable low rows,3,12,9-10,Supramax pump,Hold every rep for a 2-second count.
14,Tuesday,Back,Hyperextensions,3,8,10,Supramax pump,Use a band with very hard tension.
14,Tuesday,Abs,Ab combination #1,8,N/A,8-9,A hanging leg raise and incline sit up combo. 4 rounds.
14,Tuesday,Calves,Calf program #1,4,10 full, 10 half, 10 sec stretch,10,Supramax pump,https://www.youtube.com/watch?v=Qhdlw51Xjsc&index=68&list=PLD5A37C01FC6D4C0D
14,Wednesday,Triceps,Rope pushdowns,4,12,9,Supramax pump,Take to lockout and flex.
14,Wednesday,Triceps,Dip machine,4,15,9,Supramax pump,Use a dip machine or bench dips.
14,Wednesday,Triceps,Bent over extensions,4,10,9-10,Supramax pump,Work the stretch.
14,Wednesday,Biceps,Seated dumbbell curl,3,10,9,Supramax pump,Supinate wrists as you lift the weight.
14,Wednesday,Biceps,Incline dumbbell curl,3,10,9,Train muscle with a stretch emphasis,Sit down and lean back on an incline.
14,Wednesday,Biceps,EZ bar preacher curls,3,8,9,Supramax pump,Simple sets.
14,Wednesday,Abs,Ab combination #3,8,N/A,9-10,A rope crunch and a pulldown crunch combo. 4 rounds.
14,Wednesday,Calves,Seated raises,4,15,10,Supramax pump,"Pause and squeeze at the top for 8 seconds, long painful sets."
14,Thursday,Legs,Single Leg Hip Thrust,3,15,8,Activation and start pump,Work up to a tough 15 reps.
14,Thursday,Legs,Wide Stance Squat,3,15,8,Supramax pump,"Come down as low as you can while maintaining a low back arch, 2s pause."
14,Thursday,Legs,Goblet Squats,3,15,8,Train the pumped muscle through a full range of motion,Simple sets.
14,Thursday,Shoulders,Banded face pulls,3,30,8,Supramax pump,Use the long orange micro mini band.
14,Thursday,Shoulders,Dumbbell side laterals,3,8,8,Supramax pump,Leave reps in the tank.
14,Thursday,Shoulders,Barbell front raises,4,8,8,Supramax pump,Nothing to failure.
14,Thursday,Calves,Seated calf raises,1,100,12,Stretch and pump,"1 set of 100 reps, stop as needed, but no more than 10s rest."
14,Thursday,Abs,Hanging leg leg raise,3,to failure,9,Activation and pump.
14,Friday,Chest,Incline dumbbell press,4,8 reps, then drop set,8-11,Activation and start pump,Slow eccentric, drop set on last set with 2 drops.
14,Friday,Chest,Incline bench press,5,4,9,Train explosively,5 sets of 4 reps.
14,Friday,Chest,Dumbbell twist press,4,10,8,Activation and start pump,Simple sets.
14,Friday,Chest,Machine flyes,4,15,9-11,Train muscle with stretch emphasis,Finish with 8 partials from the stretch position.
14,Friday,Chest,Smith flat bench,3,15,9-10,Supramax pump,Lower slow, drive up 3/4 of the way.
14,Friday,Abs,Ab combination #4,9,N/A,10,A leg raise, rope crunch, and incline sit-up combo. 3 rounds.
14,Saturday,Legs,Cable Belt Squat March,3,2.5 minutes,8,Activation and start pump,Stick to the same weight as last week.
14,Saturday,Legs,Hip Thrust,3,20,8,Supramax pump,Use the same 10-rep weight from last week, rest pause each set.
14,Saturday,Legs,Band Good Mornings,3,to failure,9,Supramax pump,"Use a band, or light barbell. Do 3 sets to failure. Beat the reps from last week!",https://www.youtube.com/watch?v=5eh9EAfLPPI
14,Saturday,Shoulders,Machine rear laterals,3,10,8,Supramax pump,Hold the contracted position for 1 second.
14,Saturday,Shoulders,Dumbbell side laterals,3,8,8,Supramax pump,"Do 10 over and backs with a rope/band in between sets here!"
14,Saturday,Shoulders,Dumbbell press,3,8,8,Supramax pump,Nice and slow, full lockout and flexing.
14,Saturday,Calves,Calve program #1,4,10 full, 10 half, 10 sec stretch,10,Supramax pump,https://www.youtube.com/watch?v=Qhdlw51Xjsc&index=68&list=PLD5A37C01FC6D4C0D
