Program Name,Program Author,Program Description,Program Length,Program Level,Program Equipment,Days Per Week,Mesocycle Name,Mesocycle Description,Mesocycle Order,Microcycle Name,Microcycle Description,Microcycle Order,Workout Name,Workout Day,Workout Notes,Superset,Exercise Name,Exercise Description,Sets,Set Type,Target Repetitions,Target Min Repetitions,Target Max Repetitions,Target Weight (lbs),Target Weight (kg),Weight Increment (lbs),Weight Increment (kg),Target RPE,Target RIR,Percentage of 1RM,Progression Scheme ID
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 1,,,LOWER #1,1,,,Back Squat,,3,,5,5,,,,,,,,70%,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 1,,,LOWER #1,1,,,Barbell Hip Thrust,Chin and ribs tucked,3,,12,12,15,,,,,8,2,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 1,,,LOWER #1,1,,,Barbell Romanian Deadlift,Keep your spine neutral,2,,10,10,12,,,,,8,2,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 1,,,LOWER #1,1,,,Cable Standing Glute Kickback,Focus on squeezing your glutes,2,,12,12,15,,,,,7,3,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 1,,,LOWER #1,1,,,Seated Hip Abduction Machine,Focus on squeezing your glutes,2,,20,20,25,,,,,8,2,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 1,,,LOWER #1,1,,,Bicycle Crunch,Don't yank your neck,3,,15,15,20,,,,,8,2,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 1,,,LOWER #2,2,,,Deadlift,,4,,4,4,,,,,,,,75%,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 1,,,LOWER #2,2,,,Front Squat,Sit straight down,3,,10,10,12,,,,,8,2,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 1,,,LOWER #2,2,,,Knee-Banded Bodyweight Hip Thrust,Drive your knees out,2,,25,25,30,,,,,8,2,,
Women's Specialization Program,"Jeff Nippard, Stephanie Buttermore","A 8-week program for intermediate to advanced lifters focusing on glutes, shoulders, abs, and back hypertrophy. It is composed of two 4-week blocks.",8 Weeks,Intermediate to Advanced,"Barbells, Dumbbells, Cables, Resistance Bands, Machines",5-6,Block 1,Volume Accumulation Phase,1,Week 1,,,LOWER #2,2,,,Seated Leg Curl,Focus on squeezing your hamstrings,3,,10,10,12,,,,,8,2,,
