Program Name,Program Arthur,Program Description,Program Length,Program Level,Program Equipment,Days Per Week,Mesocycle Name,Mesocycle Description,Mesocycle Order,Microcycle Name,Microcycle Description,Microcycle Order,Workout Name,Workout Day,Workout Notes,Superset,Exercise Name,Exercise Description,Sets,Set Type,Target Repetitions,Target Min Repetitions,Target Max Repetitions,Target Weight (lbs),Target Weight (kg),Weight Increment (lbs),Weight Increment (kg),Target RPE,Target RIR,Percentage of 1RM,Progression Scheme ID,Advanced Exercise Sets
Advanced Program,Bret Contreras,A program for advanced lifters using heavier loading and advanced training schemes.,12 weeks,Advanced,Access to a commercial gym,4,Weeks 1-4,"Incorporates advanced methods like dropsets, pre-exhaustion, clusters, supersets, and ladders.",1,Week 1-4,,1,Workout Day 1,Day 1,,,Barbell Hip Thrust Dropset,,6,Dropset,10,,,,,,,,,,,
Advanced Program,Bret Contreras,A program for advanced lifters using heavier loading and advanced training schemes.,12 weeks,Advanced,Access to a commercial gym,4,Weeks 1-4,"Incorporates advanced methods like dropsets, pre-exhaustion, clusters, supersets, and ladders.",1,Week 1-4,,1,Workout Day 1,Day 1,,,Military Press,,3,Straight Set,10,,,,,,,,,,,
Advanced Program,Bret Contreras,A program for advanced lifters using heavier loading and advanced training schemes.,12 weeks,Advanced,Access to a commercial gym,4,Weeks 1-4,"Incorporates advanced methods like dropsets, pre-exhaustion, clusters, supersets, and ladders.",1,Week 1-4,,1,Workout Day 1,Day 1,,,Dumbbell Curtsy Lunge,,3,Straight Set,10,,,,,,,,,,,
Advanced Program,Bret Contreras,A program for advanced lifters using heavier loading and advanced training schemes.,12 weeks,Advanced,Access to a commercial gym,4,Weeks 1-4,"Incorporates advanced methods like dropsets, pre-exhaustion, clusters, supersets, and ladders.",1,Week 1-4,,1,Workout Day 1,Day 1,,,Inverted Row,,3,Straight Set,10,,,,,,,,,,,
Advanced Program,Bret Contreras,A program for advanced lifters using heavier loading and advanced training schemes.,12 weeks,Advanced,Access to a commercial gym,4,Weeks 1-4,"Incorporates advanced methods like dropsets, pre-exhaustion, clusters, supersets, and ladders.",1,Week 1-4,,1,Workout Day 1,Day 1,,,American Deadlift,,3,Straight Set,10,,,,,,,,,,,
Advanced Program,Bret Contreras,A program for advanced lifters using heavier loading and advanced training schemes.,12 weeks,Advanced,Access to a commercial gym,4,Weeks 1-4,"Incorporates advanced methods like dropsets, pre-exhaustion, clusters, supersets, and ladders.",1,Week 1-4,,1,Workout Day 1,Day 1,,,Banded Pallof Press,,2,Straight Set,10,,,,,,,,,,,
Advanced Program,Bret Contreras,A program for advanced lifters using heavier loading and advanced training schemes.,12 weeks,Advanced,Access to a commercial gym,4,Weeks 1-4,"Incorporates advanced methods like dropsets, pre-exhaustion, clusters, supersets, and ladders.",1,Week 1-4,,1,Workout Day 2,Day 2,,,Trap Bar Deadlift,,3,Straight Set,6,,,,,,,,,,,
Advanced Program,Bret Contreras,A program for advanced lifters using heavier loading and advanced training schemes.,12 weeks,Advanced,Access to a commercial gym,4,Weeks 1-4,"Incorporates advanced methods like dropsets, pre-exhaustion, clusters, supersets, and ladders.",1,Week 1-4,,1,Workout Day 2,Day 2,,,Close-Grip Bench Press,,3,Straight Set,4,,,,,,,,,,,
Advanced Program,Bret Contreras,A program for advanced lifters using heavier loading and advanced training schemes.,12 weeks,Advanced,Access to a commercial gym,4,Weeks 1-4,"Incorporates advanced methods like dropsets, pre-exhaustion, clusters, supersets, and ladders.",1,Week 1-4,,1,Workout Day 2,Day 2,,,Cable Kneeling Kickback,,3,Straight Set,12,,,,,,,,,,,
Advanced Program,Bret Contreras,A program for advanced lifters using heavier loading and advanced training schemes.,12 weeks,Advanced,Access to a commercial gym,4,Weeks 1-4,"Incorporates advanced methods like dropsets, pre-exhaustion, clusters, supersets, and ladders.",1,Week 1-4,,1,Workout Day 2,Day 2,,,Wide-Grip Lat Pull-Down,,3,Straight Set,10,,,,,,,,,,,
