Warm-up Type,Component,Details,Duration/Sets/Reps,Intensity/Notes,,,
General Warm-up,Objective,"Elevate core temperature, increase blood flow.",5-10 minutes,"Low intensity (RPE of 5, moderate walk/slow jog, able to talk)",,,
General Warm-up,Exercise Examples,"Stationary bikes, stair climbers, treadmills, jumping jacks, burpees.",,,,,
Specific Warm-up,Objective,"Enhance neuromuscular efficiency, rehearse movements.",,Stop well short of fatigue,,,
Specific Warm-up,For Low-Rep Training (~5 reps or fewer),Set 1: ~40-50% of 1RM; Set 2: ~60-70% of 1RM.,"At least 2 sets, 6-8 reps per set",,,,
Specific Warm-up,For Medium-Rep Training (8-12 reps),One set for multijoint free weight exercises.,1 set,~50% of 1RM,,,
Specific Warm-up,For High-Rep Training (15+ reps),Not necessary. Initial reps of working set serve as rehearsal.,,,,,
Stretching,Static Stretching,Best performed after workout.,,Avoid before high force output activities,,,
Stretching,Dynamic Stretching,"Slow, controlled movements through full range of motion.",Several sets,"Specific to joint actions being trained (e.g., arm swings, hip twists)",,,
,,,,,,,
,,,,,,,
Break-In Phase,Section,Training variable,Protocol,,,,
Break-In Phase,Summary,Sets,4 per exercise,,,,
Break-In Phase,Summary,Repetitions,10-15,,,,
Break-In Phase,Summary,Rest intervals,2 min,,,,
Break-In Phase,Summary,Frequency,3 days a week,,,,
Break-In Phase,Summary,Intensity of Effort,"Weeks 1-2: RTF 4; Weeks 3-4: Sets 1-2 RTF 3, Sets 3-4 RTF 2; Weeks 5+: Set 1 RTF 3, Set 2 RTF 2, Set 3 RTF 1, Set 4 RTF 0",,,,
,,,,,,,
Break-In Phase,Week,Day,Exercise,Sets,Repetitions,Rest interval,Intensity of Effort
Break-In Phase,1-2,"Monday, Wednesday, Friday",Dumbbell chest press,4,10-15,2 min,RTF 4
Break-In Phase,1-2,"Monday, Wednesday, Friday",Dumbbell single-arm row,4,10-15,2 min,RTF 4
Break-In Phase,1-2,"Monday, Wednesday, Friday",Military press,4,10-15,2 min,RTF 4
Break-In Phase,1-2,"Monday, Wednesday, Friday",Barbell back squat,4,10-15,2 min,RTF 4
Break-In Phase,1-2,"Monday, Wednesday, Friday",Dumbbell lunge,4,10-15,2 min,RTF 4
Break-In Phase,1-2,"Monday, Wednesday, Friday",Dumbbell stiff-leg deadlift,4,10-15,2 min,RTF 4
Break-In Phase,3-4,"Monday, Wednesday, Friday",Dumbbell chest press,4,10-15,2 min,Sets 1-2: RTF 3; Sets 3-4: RTF 2
Break-In Phase,3-4,"Monday, Wednesday, Friday",Dumbbell single-arm row,4,10-15,2 min,Sets 1-2: RTF 3; Sets 3-4: RTF 2
Break-In Phase,3-4,"Monday, Wednesday, Friday",Military press,4,10-15,2 min,Sets 1-2: RTF 3; Sets 3-4: RTF 2
Break-In Phase,3-4,"Monday, Wednesday, Friday",Barbell back squat,4,10-15,2 min,Sets 1-2: RTF 3; Sets 3-4: RTF 2
Break-In Phase,3-4,"Monday, Wednesday, Friday",Dumbbell lunge,4,10-15,2 min,Sets 1-2: RTF 3; Sets 3-4: RTF 2
