Program Name,Program Arthur,Program Description,Program Length,Program Level,Program Equipment,Days Per Week,Mesocycle Name,Mesocycle Description,Mesocycle Order,Microcycle Name,Microcycle Description,Microcycle Order,Workout Name,Workout Day,Workout Notes,Exercise Name,Sets,Set Type,Target Repetitions,Target Min Repetitions,Target Max Repetitions,Target Weight (lbs),Target Weight (kg),Weight Increment (lbs),Weight Increment (kg),Target RPE,Target RIR,Percentage of 1RM,Progression Scheme ID,Advanced Exercise Sets
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Break-In Phase,,1,Week 1-2,,1,"Break-In Phase - Week 1-2 - Monday, Wednesday, Friday","Monday, Wednesday, Friday",,Dumbbell chest press,4,,10-15,10,15,,,,,,4,,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Break-In Phase,,1,Week 1-2,,1,"Break-In Phase - Week 1-2 - Monday, Wednesday, Friday","Monday, Wednesday, Friday",,Dumbbell single-arm row,4,,10-15,10,15,,,,,,4,,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Break-In Phase,,1,Week 1-2,,1,"Break-In Phase - Week 1-2 - Monday, Wednesday, Friday","Monday, Wednesday, Friday",,Military press,4,,10-15,10,15,,,,,,4,,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Break-In Phase,,1,Week 1-2,,1,"Break-In Phase - Week 1-2 - Monday, Wednesday, Friday","Monday, Wednesday, Friday",,Barbell back squat,4,,10-15,10,15,,,,,,4,,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Break-In Phase,,1,Week 1-2,,1,"Break-In Phase - Week 1-2 - Monday, Wednesday, Friday","Monday, Wednesday, Friday",,Dumbbell lunge,4,,10-15,10,15,,,,,,4,,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Break-In Phase,,1,Week 1-2,,1,"Break-In Phase - Week 1-2 - Monday, Wednesday, Friday","Monday, Wednesday, Friday",,Dumbbell stiff-leg deadlift,4,,10-15,10,15,,,,,,4,,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Break-In Phase,,1,Week 3-4,,3,"Break-In Phase - Week 3-4 - Monday, Wednesday, Friday","Monday, Wednesday, Friday",,Dumbbell chest press,4,,10-15,10,15,,,,,,"3, 2",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Break-In Phase,,1,Week 3-4,,3,"Break-In Phase - Week 3-4 - Monday, Wednesday, Friday","Monday, Wednesday, Friday",,Dumbbell single-arm row,4,,10-15,10,15,,,,,,"3, 2",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Break-In Phase,,1,Week 3-4,,3,"Break-In Phase - Week 3-4 - Monday, Wednesday, Friday","Monday, Wednesday, Friday",,Military press,4,,10-15,10,15,,,,,,"3, 2",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Break-In Phase,,1,Week 3-4,,3,"Break-In Phase - Week 3-4 - Monday, Wednesday, Friday","Monday, Wednesday, Friday",,Barbell back squat,4,,10-15,10,15,,,,,,"3, 2",,,
