Program Name,Program Arthur,Program Description,Program Length,Program Level,Program Equipment,Days Per Week,Mesocycle Name,Mesocycle Description,Mesocycle Order,Microcycle Name,Microcycle Description,Microcycle Order,Workout Name,Workout Day,Workout Notes,Superset,Exercise Name,Exercise Note,Sets,Set Type,Target Repetitions,Target Min Repetitions,Target Max Repetitions,Target Weight (lbs),Target Weight (kg),Weight Increment (lbs),Weight Increment (kg),Target RPE,Target RIR,Percentage of 1RM,Youtube Video Links,Advanced Exercise Sets
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 1,Training for Week 1,1,Monday - Legs/Glutes,Monday,,,Hip Thrusts,"Activation and start pump, Work up to max weight for 8 reps, rest pause reps.",3,,"8, 8, 8",8,8,,,,,8,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 1,Training for Week 1,1,Monday - Legs/Glutes,Monday,,,"Single Leg, Alternating, Lying leg curl","Supramax pump, Do 20 reps on one leg, then 20 on the other. Rest 30 seconds, then repeat.",2,,"20, 20",20,20,,,,,9,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 1,Training for Week 1,1,Monday - Legs/Glutes,Monday,,,Squats,"Train explosively, Work up to max weight for 8 reps, controlled descent, stop at 3/4 lockout.",3,,"8, 8, 8",8,8,,,,,8,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 1,Training for Week 1,1,Monday - Legs/Glutes,Monday,,,Bulgarian Split squats - drop set of death,"Supramax pump, Set 1-3: 8 reps. Set 4: 8 reps, 7-second isohold, drop weight, repeat until lightest dumbbells.",4,Drop Set,"8, 8, 8, 8",8,8,,,,,8,,,https://www.youtube.com/watch?v=I1Ee3M6SDgQ&index=49&list=PLD5A37C01FC6D4C0D,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 1,Training for Week 1,1,Monday - Abs,Monday,,,Decline leg raises,"Activation and pump, Come close to failure, leave a few reps in the tank.",4,,"10-20, 10-20, 10-20, 10-20",10,20,,,,,8,,,https://www.youtube.com/watch?v=JwQGUD1wxDg&list=PL512BBB0C927A91DC&index=10,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 1,Training for Week 1,1,Monday - Calves,Monday,,,Standing raises,"Supramax pump, 10 reps, 10s isohold, 10 more reps, 10s isohold, 10 more reps, 10s isohold.",1,,"10 full, 10 half, 10 sec stretch",,,,,,,11,,,,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 1,Training for Week 1,1,Tuesday - Chest,Tuesday,,,Dumbbell press,"Activation and start pump, Slight incline, work up to a tough 8 reps, 3/4 lockout.",3,,"8, 8, 8",8,8,,,,,8,,,https://www.youtube.com/watch?v=BZWIfncVw c&list=PL2955620A11D03694&index=48,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 1,Training for Week 1,1,Tuesday - Chest,Tuesday,,,Incline barbell press,"Train explosively, Lower angle, controlled descent, stop 1-2 inches above chest.",3,,"6, 6, 6",6,6,,,,,8,,,https://www.youtube.com/watch?v=xmD9VxBqCLo&list=PL2955620A11D03694&index=52,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 1,Training for Week 1,1,Tuesday - Chest,Tuesday,,,Machine press,"Activation and start pump, Sets 1-2: 8 reps. Set 3: 8 reps, drop, 8 reps, drop, 15 partials.",3,Drop Set,"8, 8, 8",8,8,,,,,10,,,https://www.youtube.com/watch?v=FfqfvOWyz7s&index=45&list=PL2955620A11D03694,
Omega Sentinel,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Dumbbells, Barbell, Machines, Bands",6,Legs and Glutes - High Frequency,,1,Microcycle Week 1,Training for Week 1,1,Tuesday - Chest,Tuesday,,,Incline flyes,"Train muscle with stretch emphasis, Pronated grip, stretch it out.",3,,"10, 10, 10",10,10,,,,,9,,,https://www.youtube.com/watch?v=bscXcMgQLWo&list=PL2955620A11D03694&index=49,
